Title                                                           14.02.2022 14:36
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&]3[PETBT 1402
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            459            459        96.4363           96.5      -0.178371
            460            460         96.603        96.6667      -0.178348
            461            461        96.7696        96.8333      -0.178321
            462            462        96.9362             97      -0.178302
            463            463        97.1029        97.1667      -0.178286
            464            464        97.2695        97.3333       -0.17826
            465            465        97.4361           97.5      -0.178228
            466            466        97.6027        97.6667      -0.178197
            467            467        97.7694        97.8333      -0.178167
            468            468         97.936             98      -0.178136
            469            469        98.1026        98.1667      -0.178107
            470            470        98.2693        98.3333      -0.178067
            471            471        98.4359           98.5      -0.178022
            472            472        98.6025        98.6667      -0.177985
            473            473        98.7692        98.8333      -0.177946
            474            474        98.9358             99      -0.177903
            475            475        99.1025        99.1667      -0.177852
            476            476        99.2691        99.3333      -0.177806
            477            477        99.4357           99.5       -0.17776
            478            478        99.6024        99.6667      -0.177714
            479            479         99.769        99.8333      -0.177676
            480            480        99.9356            100      -0.177634
            481            481        100.102        100.167      -0.177588
            482            482        100.269        100.333       -0.17754
            483            483        100.436          100.5      -0.177502
            484            484        100.602        100.667      -0.177459
            485            485        100.769        100.833      -0.177418
            486            486        100.935            101      -0.177382
            487            487        101.102        101.167      -0.177333
            488            488        101.269        101.333      -0.177292
            489            489        101.435          101.5      -0.177248
            490            490        101.602        101.667      -0.177201
            491            491        101.769        101.833      -0.177151
            492            492        101.935            102      -0.177103
            493            493        102.102        102.167      -0.177054
            494            494        102.269        102.333      -0.176999
            495            495        102.435          102.5       -0.17694
            496            496        102.602        102.667      -0.176885
            497            497        102.769        102.833      -0.176834
            498            498        102.935            103      -0.176786
            499            499        103.102        103.167      -0.176732
            500            500        103.268        103.333      -0.176683
            501            501        103.435          103.5      -0.176631
            502            502        103.602        103.667       -0.17658
            503            503        103.768        103.833      -0.176555
            504            504        103.935            104      -0.176534
            505            505        104.102        104.167      -0.176514
            506            506        104.268        104.333      -0.176495
            507            507        104.435          104.5      -0.176474
            508            508        104.601        104.667      -0.176431
            509            509        104.768        104.833      -0.176378
            510            510        104.935            105      -0.176324
            511            511        105.101        105.167      -0.176223
            512            512        105.268        105.333      -0.176153
            513            513        105.435          105.5      -0.176094
            514            514        105.601        105.667      -0.176038
            515            515        105.768        105.833       -0.17598
            516            516        105.935            106      -0.175919
            517            517        106.101        106.167      -0.175862
            518            518        106.268        106.333      -0.175807
            519            519        106.435          106.5      -0.175765
            520            520        106.601        106.667      -0.175726
            521            521        106.768        106.833      -0.175692
            522            522        106.934            107      -0.175665
            523            523        107.101        107.167      -0.175641
            524            524        107.268        107.333      -0.175598
            525            525        107.434          107.5      -0.175551
            526            526        107.601        107.667      -0.175503
            527            527        107.768        107.833      -0.175421
            528            528        107.934            108      -0.175355
            529            529        108.101        108.167      -0.175292
            530            530        108.268        108.333      -0.175231
            531            531        108.434          108.5      -0.175165
            532            532        108.601        108.667      -0.175105
            533            533        108.768        108.833       -0.17505
            534            534        108.934            109         -0.175
            535            535        109.101        109.167      -0.174959
            536            536        109.267        109.333      -0.174919
            537            537        109.434          109.5      -0.174859
            538            538        109.601        109.667       -0.17479
            539            539        109.767        109.833      -0.174725
            540            540        109.934            110      -0.174664
            541            541        110.101        110.167      -0.174615
            542            542        110.267        110.333      -0.174565
            543            543        110.434          110.5      -0.174513
            544            544        110.601        110.667      -0.174476
            545            545        110.767        110.833      -0.174431
            546            546        110.934            111      -0.174389
            547            547        111.101        111.167      -0.174353
            548            548        111.267        111.333        -0.1743
            549            549        111.434          111.5       -0.17425
            550            550          111.6        111.667      -0.174211
            551            551        111.767        111.833      -0.174177
            552            552        111.934            112      -0.174127
            553            553          112.1        112.167      -0.174077
            554            554        112.267        112.333      -0.174032
            555            555        112.434          112.5      -0.173989
            556            556          112.6        112.667      -0.173911
            557            557        112.767        112.833      -0.173843
            558            558        112.934            113       -0.17378
            559            559          113.1        113.167       -0.17372
            560            560        113.267        113.333      -0.173641
            561            561        113.434          113.5      -0.173564
            562            562          113.6        113.667      -0.173496
            563            563        113.767        113.833      -0.173431
            564            564        113.934            114      -0.173374
            565            565          114.1        114.167      -0.173308
            566            566        114.267        114.333      -0.173248
            567            567        114.433          114.5      -0.173197
            568            568          114.6        114.667      -0.173173
            569            569        114.767        114.833      -0.173138
            570            570        114.933            115      -0.173094
            571            571          115.1        115.167      -0.173046
            572            572        115.267        115.333      -0.172997
            573            573        115.433          115.5      -0.172941
            574            574          115.6        115.667      -0.172883
            575            575        115.767        115.833      -0.172826
            576            576        115.933            116      -0.172727
            577            577          116.1        116.167      -0.172649
            578            578        116.267        116.333       -0.17258
            579            579        116.433          116.5      -0.172508
            580            580          116.6        116.667       -0.17244
            581            581        116.767        116.833       -0.17237
            582            582        116.933            117      -0.172304
            583            583          117.1        117.167      -0.172239
            584            584        117.266        117.333      -0.172167
            585            585        117.433          117.5      -0.172089
            586            586          117.6        117.667      -0.171998
            587            587        117.766        117.833       -0.17191
            588            588        117.933            118      -0.171829
            589            589          118.1        118.167      -0.171762
            590            590        118.266        118.333      -0.171702
