Title                                                           02.12.2022 08:56
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  !&BBImp_22_03_04
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]        [Wg^-1]
            363            363        40.4315           40.5      -0.257917
            364            364         40.598        40.6667      -0.258087
            365            365        40.7646        40.8333      -0.258402
            366            366        40.9311             41       -0.25872
            367            367        41.0976        41.1667      -0.258855
            368            368        41.2642        41.3333      -0.258963
            369            369        41.4307           41.5      -0.259234
            370            370        41.5973        41.6667      -0.259543
            371            371        41.7638        41.8333      -0.259817
            372            372        41.9303             42      -0.259982
            373            373        42.0969        42.1667      -0.260024
            374            374        42.2635        42.3333      -0.260121
            375            375        42.4301           42.5      -0.260228
            376            376        42.5966        42.6667      -0.260323
            377            377        42.7632        42.8333      -0.260419
            378            378        42.9298             43      -0.260517
            379            379        43.0964        43.1667      -0.260606
            380            380        43.2629        43.3333      -0.260686
            381            381        43.4295           43.5      -0.260777
            382            382        43.5961        43.6667      -0.260879
            383            383        43.7627        43.8333      -0.260952
            384            384        43.9293             44      -0.260983
            385            385        44.0958        44.1667      -0.261199
            386            386        44.2623        44.3333      -0.261377
            387            387        44.4289           44.5      -0.261524
            388            388        44.5955        44.6667      -0.261562
            389            389        44.7621        44.8333      -0.261621
            390            390        44.9286             45      -0.261713
            391            391        45.0952        45.1667      -0.261797
            392            392        45.2618        45.3333      -0.261882
            393            393        45.4284           45.5      -0.261969
            394            394         45.595        45.6667      -0.262049
            395            395        45.7615        45.8333       -0.26207
            396            396        45.9282             46      -0.261979
            397            397        46.0947        46.1667      -0.262231
            398            398        46.2613        46.3333      -0.262364
            399            399        46.4278           46.5      -0.262471
            400            400        46.5944        46.6667       -0.26258
            401            401         46.761        46.8333      -0.262616
            402            402        46.9276             47      -0.262692
            403            403        47.0941        47.1667      -0.262743
            404            404        47.2607        47.3333      -0.262739
            405            405        47.4273           47.5        -0.2629
            406            406        47.5938        47.6667      -0.263095
            407            407        47.7604        47.8333      -0.263244
            408            408         47.927             48      -0.263381
            409            409        48.0935        48.1667      -0.263485
            410            410        48.2601        48.3333       -0.26359
            411            411        48.4267           48.5      -0.263691
            412            412        48.5933        48.6667      -0.263763
            413            413        48.7598        48.8333      -0.263822
            414            414        48.9264             49      -0.263895
            415            415         49.093        49.1667      -0.263963
            416            416        49.2596        49.3333      -0.264021
            417            417        49.4261           49.5      -0.264177
            418            418        49.5927        49.6667      -0.264293
            419            419        49.7593        49.8333      -0.264406
            420            420        49.9258             50      -0.264549
            421            421        50.0924        50.1667      -0.264596
            422            422         50.259        50.3333      -0.264681
            423            423        50.4256           50.5      -0.264744
            424            424        50.5921        50.6667      -0.264811
            425            425        50.7587        50.8333      -0.265041
            426            426        50.9252             51      -0.265261
            427            427        51.0917        51.1667      -0.265485
            428            428        51.2583        51.3333      -0.265508
            429            429        51.4249           51.5      -0.265719
            430            430        51.5914        51.6667      -0.265895
            431            431         51.758        51.8333      -0.266072
            432            432        51.9245             52      -0.266267
            433            433        52.0911        52.1667      -0.266379
            434            434        52.2577        52.3333      -0.266421
            435            435        52.4242           52.5      -0.266488
            436            436        52.5908        52.6667      -0.266558
            437            437        52.7574        52.8333      -0.266607
            438            438         52.924             53      -0.266638
            439            439        53.0906        53.1667      -0.266672
            440            440        53.2572        53.3333      -0.266719
            441            441        53.4238           53.5      -0.266717
            442            442        53.5904        53.6667      -0.266713
            443            443        53.7569        53.8333      -0.266796
            444            444        53.9235             54      -0.266982
            445            445          54.09        54.1667       -0.26709
            446            446        54.2566        54.3333      -0.267186
            447            447        54.4232           54.5      -0.267286
            448            448        54.5897        54.6667      -0.267396
            449            449        54.7563        54.8333      -0.267484
            450            450        54.9229             55      -0.267598
            451            451        55.0894        55.1667      -0.267735
            452            452         55.256        55.3333      -0.267881
            453            453        55.4225           55.5      -0.268068
            454            454        55.5891        55.6667      -0.268257
            455            455        55.7556        55.8333      -0.268447
            456            456        55.9222             56      -0.268633
            457            457        56.0887        56.1667      -0.268805
            458            458        56.2552        56.3333      -0.269001
            459            459        56.4218           56.5       -0.26916
            460            460        56.5884        56.6667      -0.269171
            461            461        56.7549        56.8333      -0.269434
            462            462        56.9215             57      -0.269618
            463            463         57.088        57.1667       -0.26979
            464            464        57.2546        57.3333      -0.269962
            465            465        57.4211           57.5      -0.270133
            466            466        57.5877        57.6667      -0.270276
            467            467        57.7542        57.8333      -0.270437
            468            468        57.9208             58      -0.270597
            469            469        58.0873        58.1667      -0.270753
            470            470        58.2539        58.3333      -0.270875
            471            471        58.4204           58.5       -0.27103
            472            472         58.587        58.6667      -0.271203
            473            473        58.7535        58.8333      -0.271283
            474            474        58.9201             59      -0.271307
            475            475        59.0867        59.1667       -0.27139
            476            476        59.2533        59.3333      -0.271485
            477            477        59.4198           59.5      -0.271565
            478            478        59.5864        59.6667      -0.271754
